date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:03	69/69	U-----	200	untouched ('OK')	text/plain	date:Sun,%2015%20Dec%202024%2005:22:00%20GMT	https://luxurychiangmai.com/robots.txt		(from )
13:02:05	48590/48590	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2015%20Dec%202024%2006:02:05%20GMT	https://luxurychiangmai.com/	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/index.html	(from )
13:02:06	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2015%20Dec%202024%2006:02:06%20GMT	https://luxurychiangmai.com/xmlrpc.php	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/xmlrpc.php	(from https://luxurychiangmai.com/)
13:02:06	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Sun,%2015%20Dec%202024%2006:02:07%20GMT	https://luxurychiangmai.com/wp-admin/admin-ajax.php	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-admin/admin-ajax.php	(from https://luxurychiangmai.com/)
13:02:07	8361/8361	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%229cf635dfa7671fdb502d2eee07702af0%22	https://luxurychiangmai.com/comments/feed/	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/comments/feed/index.html	(from https://luxurychiangmai.com/)
13:02:08	854/854	U--MCZ	200	updated ('OK')	text/xml	date:Sun,%2015%20Dec%202024%2006:02:08%20GMT	https://luxurychiangmai.com/xmlrpc.php?rsd	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/xmlrpc0db0.php	(from https://luxurychiangmai.com/)
13:02:08	96444/96444	U--MCZ	200	updated ('OK')	application/json	date:Sun,%2015%20Dec%202024%2006:02:08%20GMT	https://luxurychiangmai.com/wp-json/	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/wp-json/index.html	(from https://luxurychiangmai.com/)
13:02:08	15236/15236	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%221e5c64df781bacf6533e19b44204f858%22	https://luxurychiangmai.com/feed/	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/feed/index.html	(from https://luxurychiangmai.com/)
13:02:09	50438/50438	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2015%20Dec%202024%2006:02:09%20GMT	https://luxurychiangmai.com/page/2/	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/page/2/index.html	(from https://luxurychiangmai.com/)
13:02:10	49856/49856	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2015%20Dec%202024%2006:02:10%20GMT	https://luxurychiangmai.com/category/sleep/	C:/Users/revol/Desktop/LuxuryCM/LuxuryCM2/luxurychiangmai.com/category/sleep/index.html	(from https://luxurychiangmai.com/)
